Card No., Card name, When released, When released another format, History of the card, Number of times the card was changed
05/12/2018|On 5/12/2018, the December 2018 Update, increased the Archer's range to 5.5 tiles (from 5 tiles). This change was not mentioned in any change notes and was later said to be unintentional by Supercell, and as such it got reverted in 7/12/2018, in a maintenance break.
02/06/2020|On 2/6/2020, a Balance Update, gave the Archers a new 0.1 second deploy stagger from each other.
04/04/2022|On 4/4/22, a Balance Update increased the Archers' hit speed to 1.1 sec (from 1.2 sec).",11
3,Goblins,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Goblins.
12/12/2017|On 12/12/2017, the Electrifying Update, decreased the Goblins' damage by 6%.
02/07/2018|On 2/7/2018, a Balance Update, decreased the Goblins' hitpoints by 1%. This was to fix an inconsistency with Minions that could not take out Goblins in two hits at the same level.
02/06/2020|On 2/6/2020, a Balance Update, gave the Goblins a new 0.1 second deploy stagger from each other.
06/09/2021|On 6/9/21, a Balance Update increased the distance between the Goblins upon deployment.",5
4,Giant,4 January 2016,04/01/2016,"09/02/2016|On 9/2/2016, the Chest Rewards & Card Balance Update, increased the Giant's hitpoints by 5%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Giant.
23/03/2016|On 23/3/2016, a Balance Update, increased the Giant's damage by 5%.
19/09/2016|On 19/9/2016, the September 2016 Update, decreased the Giant's damage by 5%.
20/10/2016|On 20/10/2016, a Balance Update, decreased the Giant's hitpoints by 5%.
05/11/2018|On 5/11/2018, a Balance Update, decreased the Giant's hitpoints by 2%.
03/02/2021|On 3/2/21, a Balance Update increased the Giant's hitpoints by 4%.",7
5,P.E.K.K.A,4 January 2016,04/01/2016,"02/02/2016|On 2/2/2016, the February 2016 Update, decreased the P.E.K.K.A's hitpoints by 13% and decreased the Elixir cost to 7 (from 8).
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the P.E.K.K.A.
21/06/2016|On 21/6/2016, a Balance Update, increased the P.E.K.K.A's damage by 8%.
24/08/2016|On 24/8/2016, a Balance Update, increased the P.E.K.K.A's damage by 5%.
13/02/2017|On 13/2/2017, a Balance Update, decreased the P.E.K.K.A's deploy time to 1 second (from 3 seconds).
05/08/2019|On 5/8/2019, a Balance Update, decreased the P.E.K.K.A's hitpoints by 9.5% but increased her range to 1.6 tiles (from 0.7 tiles), now classified as Melee: Long.
02/09/2019|On 2/9/2019, a Balance Update, decreased the P.E.K.K.A's range to 1.2 tiles (from 1.6 tiles), now classified as Melee: Medium.",7
6,Minions,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Minions.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Common card level cap to 13 (from 12). The update also fixed the ""range bug"", which decreased the Minions' range to 2 tiles (from 2.5 tiles) but their effective range was unchanged.
20/06/2018|On 20/6/2018, the Summer 2018 Update, gave the Minions a new 0.15 seconds deploy stagger from each other. It also moved the Arena to unlock this card from Bone Pit (Arena 2) to Training Camp.
01/07/2019|On 1/7/2019, the July 2019 Update, decreased the Minions' range to 1.6 tiles (from 2 tiles), now classified as Melee: Long.
02/06/2020|On 2/6/2020, a Balance Update, decreased the deploy stagger for each Minion to 0.1 seconds (from 0.15 seconds).",5
7,Balloon,4 January 2016,04/01/2016,"02/02/2016|On 2/2/2016, the February 2016 Update, added the death damage statistic to the Balloon's card info screen.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Balloon.
23/03/2016|On 23/3/2016, a Balance Update, increased the Balloon's hitpoints by 5%.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the size of the Balloon's hitpoint bar to prevent it from being recognized as a low-health troop when encountered.
15/12/2016|On 15/12/2016, the December 2016 Update, increased the Balloon's death damage by 105% and its death damage explosion radius by 50% (from 2 tiles to 3 tiles).
19/04/2017|On 19/4/2017, a Balance Update, increased the Balloon's death damage delay to 3 seconds (from 1 second).
06/08/2018|On 6/8/2018, a Balance Update, allowed the Balloon to be knocked back.
28/01/2019|On 28/1/2019, the January 2019 Update, moved the Arena to unlock the Balloon from Bone Pit (Arena 2) to Builder’s Workshop (Arena 6).
30/03/2021|On 30/3/21, a Balance Update decreased the Balloon's death damage by 27%.
03/02/2022|On 3/2/22, a Balance Update decreased the Balloon's damage by 33% but also decreased its hitspeed to 2 seconds (from 3 seconds).",10
8,Witch,4 January 2016,04/01/2016,"11/01/2016|On 11/1/2016, the First Update, decreased the Witch's spawned Skeletons level by 1. Before this update, a Level 13 Witch would be able to spawn level 14 Skeletons.
02/02/2016|On 2/2/2016, the February 2016 Update, fixed a bug where the Witch would get stuck if placed in the corner behind a building.
19/02/2016|On 19/2/2016, a Balance Update, increased her damage by 3%. Additionally, all Skeletons' hitpoints and damage were increased by 11%.
29/02/2016|On 29/2/2016, the March 2016 Update, changed the Witch so that it would no longer stop its attack if its target dies during the attack animation. It also decreased the sight range of the Witch and her Skeletons.
23/03/2016|On 23/3/2016, a Balance Update, increased her damage by 5%.
03/05/2016|On 3/5/2016, the May 2016 Update, fixed the ""range bug"" and decreased the Witch's range to 5 tiles (from 5.5 tiles) but her effective range is unchanged. Also, before the change Witch was able to summon level 13 Skeletons while the level cap for the Skeletons card was 12. The Goblin Barrel was able to do the same with the Goblins.
18/05/2016|On 18/5/2016, a Balance Update, increased the Witch's damage by 10%. In addition, the Skeletons' hitpoints and damage were increased by 5%.
21/06/2016|On 21/6/2016, a Balance Update, increased the Witch's damage by 17%.
13/02/2017|On 13/2/2017, a Balance Update, increased the Witch's damage by 6%.
12/06/2017|On 12/6/2017, the June 2017 Update, increased the Witch's hitpoints by 5%, increased her area damage radius by 10%, decreased spawn speed to 7 seconds (from 7.5 seconds), and slowed the spawn speed of her first wave.
25/04/2018|On 25/4/2018, the Clan Wars Update, fixed a bug where the Witch would switch targets if spawning Skeletons pushed her target out of range.
02/07/2018|On 2/7/2018, a Balance Update, increased the Witch's hitpoints by 17%, decreased her spawn speed to 5 seconds (from 7 seconds), and decreased her hit speed to 1 second (from 0.7 seconds).
03/09/2018|On 3/9/2018, a Balance Update, decreased the Witch's hitpoints by 3.5%.
01/04/2019|On 1/4/2019, a Balance Update, made the Witch spawn 3 additional Skeletons upon death.
07/10/2019|On 7/10/2019, a Balance Update, increased the Witch's damage by 220%, reduced her area damage radius by 45%, decreased her health by 12%, increased her attack speed to 1.4 seconds (from 1 second), and removed the 3 Skeletons that spawned upon death. Her skeleton summoning speed also changed to 7 sec (from 5 sec), and she now spawns Skeletons in a plus shape around her. Her sound effects also changed slightly.
04/11/2019|On 4/11/2019, a Balance Update, removed the Witch's area damage, decreased her attack speed from 1.4 to 1.7 seconds and set the first Skeleton spawn from 1 second to 3.5 seconds. Her mass also increased by 100% so that she could no longer be pushed by Skeletons.
26/11/2019|On 26/11/2019, the End of November 2019 Update, added Area Damage to the Witch's attacks, decreased her damage by 49%, and increased her hit speed to 1.1 seconds (from 1.7 seconds).
04/02/2020|On 4/2/2020, a Balance Update, decreased the Witch's first attack to 0.7 seconds (from 1 second).
09/12/2020|On 9/12/2020, a Balance Update, increased the speed of her first Skeleton spawn to 1 sec (from 3.5 sec).
30/03/2021|On 30/3/2021, a Balance Update increased her range to 5.5 tiles (from 5 tiles).",20
9,Barbarians,4 January 2016,04/01/2016,"02/02/2016|On 2/2/2016, the February 2016 Update, decreased the Barbarians' hitpoints by 3%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Barbarians.
04/06/2018|On 4/6/2018, a Balance Update, increased the Barbarians‘ hit speed to 1.4 seconds (from 1.5 seconds). It also increased the distance between the Barbarians upon deployment.
04/03/2019|On 4/3/2019, a Balance Update, decreased the Barbarians' hitpoints by 13%. It also increased the Barbarians' count to 5 (from 4) and gave the Barbarians a new 0.15 second deploy stagger from each other.
02/06/2020|On 2/6/2020, a Balance Update, decreased the deploy stagger for each Barbarian to 0.1 seconds (from 0.15 seconds).
07/06/2022|On 7/6/22, a Balance Update increased the Barbarians‘ hit speed to 1.3 seconds (from 1.4 seconds).",6
10,Golem,4 January 2016,04/01/2016,"02/02/2016|On 2/2/2016, the February 2016 Update, increased the Golem's hitpoints, attack damage and death damage by 43%, and decreased the same stats on the Golemite by 43%. It also added the death damage on the Golem's card info screen.
19/02/2016|On 19/2/2016, a Balance Update, decreased the Golem's and Golemite's hitpoints by 5%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Golem and his Golemites.
18/05/2016|On 18/5/2016, a Balance Update, increased the Golem and Golemite's hitpoints by 5%.
24/08/2016|On 24/8/2016, a Balance Update, increased the Golem's hit and death damage by 5% and hitpoints by 1%. The Golemites had their hit and death damage increased by 8% and their hitpoints by 3.2%.
20/10/2016|On 20/10/2016, a Balance Update, allowed its death damage to affect flying troops, but Supercell called it a bug fix.
07/01/2019|On 7/1/2019, a Balance Update, halved the amount of pushback caused by a Golemite's death damage (from 1.8 tiles to 0.9 tiles).
03/03/2020|On 3/3/2020, a Balance Update, decreased the Golemites' damage by 22.5%, but also increased their Death Damage by 55%.
07/06/2021|On 7/6/21, the 2021 Quarter 2 Update decreased the Golem's death damage by 28%. It also moved the Arena to unlock the Golem from Barbarian Bowl (Arena 3) to Hog Mountain (Arena 10).",9
11,Skeletons,4 January 2016,04/01/2016,"19/02/2016|On 19/2/2016, the Balance Update, increased the Skeletons' hitpoints and damage by 11%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Skeletons.
18/05/2016|On 18/5/2016, a Balance Update, increased the Skeletons' hitpoints and damage by 5%.
21/06/2016|On 21/6/2016, a Balance Update, decreased the number of Skeletons spawned to 3 (from 4).
13/02/2017|On 13/2/2017, a Balance Update, increased the number of Skeletons spawned to 4 (from 3). This also changed the numeral ""Three"" to ""Four"" in the description.
12/06/2017|On 12/6/2017, the June 2017 Update, decreased the number of Skeletons spawned to 3 (from 4). This changed the numeral ""Four"" to ""Three"" in the description.",6
12,Valkyrie,4 January 2016,04/01/2016,"09/02/2016|On 9/2/2016, the Chest Reward & Card Balance Update, increased the Valkyrie's hitpoints and damage by 10%.
29/02/2016|On 29/2/2016, the March 2016 Update, changed the Valkyrie so that it would no longer stop its attack if its target dies during the attack animation. It also decreased the sight range of the Valkyrie.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Rare card level cap to 11 (from 10). The update also allowed the Valkyrie to be knocked back.
09/10/2017|On 9/10/2017, the Epic Quests Update, increased the Valkyrie's damage by 5%.
12/02/2018|On 12/2/2018, a Balance Update, increased the Valkyrie's hit speed to 1.4 seconds (from 1.5 seconds).
04/06/2018|On 4/6/2018, a Balance Update, increased the Valkyrie‘s hitpoints by 7% and made her first attack faster.
03/09/2018|On 3/9/2018, a Balance Update, decreased the Valkyrie's hit speed to 1.6 seconds (from 1.4 seconds).
07/01/2019|On 7/1/2019, a Balance Update, increased the Valkyrie's hit speed to 1.5 seconds (from 1.6 seconds).
01/07/2019|On 1/7/2019, the July 2019 Update, increased the Valkyrie's range to 1.2 tiles (from 1 tile), now classified as Melee: Medium, and increased its splash radius to 2.4 tiles (from 2 tiles).
05/08/2019|On 5/8/2019, a Balance Update, fixed a bug where the Valkyrie's range was actually 1.9 tiles (decreased by 0.7 tiles to correctly match Melee: Medium's 1.2 tiles).
04/04/2022|On 4/4/22, a Balance Update decreased the Valkyrie's hitpoints by 4%.",11
13,Skeleton Army,4 January 2016,04/01/2016,"19/02/2016|On 19/2/2016, a Balance Update, increased the Skeletons' hitpoints and damage by 11%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Skeletons.
18/05/2016|On 18/5/2016, a Balance Update, increased the Skeletons' hitpoints and damage by 5%.
04/07/2016|On 4/7/2016, the Tournaments Update, increased the number of Skeletons spawned to 21 (from 20).
20/10/2016|On 20/10/2016, a Balance Update, decreased the Skeleton Army's Elixir cost to 3 (from 4), increased the Skeletons' levels by 5 (to match the tournament standard) and reduced the number of Skeletons spawned to 16 (from 21).
13/02/2017|On 13/2/2017, a Balance Update, decreased the number of Skeletons spawned to 15 (from 16).
19/04/2017|On 19/4/2017, a Balance Update, decreased the number of Skeletons spawned to 14 (from 15).
01/10/2018|On 1/10/2018, a Balance Update, increased the number of Skeletons spawned to 15 (from 14).
07/06/2021|On 7/6/21, the 2021 Quarter 2 Update moved the Arena to unlock the Skeleton Army from Training Camp (Tutorial) to Bone Pit (Arena 2).",9
14,Bomber,4 January 2016,04/01/2016,"02/02/2016|On 2/2/2016, the February 2016 Update, increased the Bomber's hit speed to 1.9 seconds (from 2 seconds).
29/02/2016|On 29/2/2016, the March 2016 Update, changed the Bomber so that he would no longer stop his attack if his target dies during the attack animation. It also decreased the sight range of the Bomber.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Common card level cap to 13 (from 12). The update also fixed the ""range bug"", which decreased the Bomber's range to 4.5 tiles (from 5 tiles) but his effective range was unchanged.
18/05/2016|On 18/5/2016, a Balance Update, increased the Bomber's damage by 10%.
04/07/2016|On 4/7/2016, the Tournaments Update, increased the Bomber's damage by 9%.
19/09/2016|On 19/9/2016, the September 2016 Update, decreased the Bomber's hitpoints by 2% and increased his damage by 2.5%. This resolved a minor issue where Goblins could not defeat an equal level Bomber in 3 hits at some levels, e.g. Level 7.
15/12/2016|On 15/12/2016, the December 2016 Update, increased the Bomber's damage by 4%. This lets the Bomber one shot equally leveled Archers.
02/07/2018|On 2/7/2018, a Balance Update, increased the Bomber's range to 5 tiles (from 4.5 tiles).
06/05/2019|On 6/5/2019, a Balance Update, increased the Bomber's hitpoints by 28%.
09/09/2020|On 9/9/2020, a Balance Update, decreased the Bomber's hitspeed to 1.8 seconds (from 1.9 seconds).
30/03/2021|On 30/3/21, a Balance Update decreased the Bomber's Elixir cost to 2 (from 3), decreased his hitpoints by 31%, and decreased his damage by 32%.
06/09/2021|On 6/9/21, a Balance Update decreased the Bomber's attacking range to 4.5 tiles (from 5 tiles).",12
15,Musketeer,4 January 2016,04/01/2016,"09/02/2016|On 9/2/2016, the Chest Rewards & Card Balance Update, decreased the Musketeer's damage by 25% and her Elixir cost to 4 (from 5).
19/02/2016|On 19/2/2016, a Balance Update, increased the Musketeer's damage by 11%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Musketeer.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Rare card level cap to 11 (from 10). The update also fixed the ""range bug"", which decreased the Musketeer's range to 6 (from 6.5) but her effective range was unchanged.
04/02/2019|On 4/2/2019, a Balance Update, increased the Musketeer's damage by 3%.
06/10/2020|On 6/10/2020, a Balance Update, decreased the Musketeer's first attack speed to 0.8 seconds (from 0.5 seconds).
03/02/2022|On 3/2/22, a Balance Update increased the Musketeer's hit speed to 1 sec (from 1.1 sec).",7
16,Baby Dragon,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, changed the Baby Dragon so that it would no longer stop its attack if its target dies during the attack animation. It also decreased the sight range of the Baby Dragon.
03/05/2016|On 3/5/2016, the May 2016 Update, fixed the ""range bug"" and decreased the Baby Dragon's range to 3 (from 3.5), but its effective range remained unchanged.
24/08/2016|On 24/8/2016, a Balance Update, increased the Baby Dragon's hit speed to 1.6 seconds (from 1.8 seconds).
13/02/2017|On 13/2/2017, a Balance Update, increased the Baby Dragon's range to 3.5 tiles (from 3 tiles).
06/08/2018|On 6/8/2018, a Balance Update, increased the Baby Dragon's hit speed to 1.5 seconds (from 1.6 seconds) but allow it to be knocked back as well.
04/11/2019|On 4/11/2019, a Balance Update, decreased the Baby Dragon's hitpoints by 4%.
05/05/2020|On 5/5/2020, a Balance Update, decreased the Baby Dragon's hitpoints by 6.5%.
30/07/2020|On 30/7/2020, a maintenance break, changed the Baby Dragon's card render.",8
17,Prince,4 January 2016,04/01/2016,"11/01/2016|On 11/1/2016, the First Update, decreased the Prince's hitpoints by 4%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Prince.
23/03/2016|On 23/3/2016, a Balance Update, decreased the Prince's charge speed by 13%.
03/05/2016|On 3/5/2016, the May 2016 Update, fixed the ""range bug"" and decreased the Prince's range to Melee (from 2.5 tiles), but his effective range remained unchanged.
21/06/2016|On 21/6/2016, a Balance Update, increased the Prince's damage by 9%.
24/08/2016|On 24/8/2016, a Balance Update, increased the Prince's damage by 2%. This means that a level 13 Prince will now be able to defeat level 13 Barbarians in 2 hits or 1 charge strike.
12/12/2017|On 12/12/2017, the Electrifying Update, increased the Prince’s hitpoints by 5% and his hit speed to 1.4 seconds (from 1.5 seconds).
20/06/2018|On 20/6/2018, the Summer 2018 Update, increased the distance required for charging to 3.5 tiles (from 2.5 tiles).
03/09/2018|On 3/9/2018, a Balance Update, increased the Prince's hitpoints by 5%.
01/07/2019|On 1/7/2019, the July 2019 Update, decreased the Prince's range to 1.6 tiles (from 1.85 tiles), now classified as Melee: Long.
01/06/2020|On 1/6/2020, a Balance Update, increased the Prince's hitpoints by 3%.
03/02/2022|On 3/2/22, a Balance Update decreased the Prince's hitpoints by 4% and made him able to jump over the river.
02/08/2022|On 2/8/22, a Balance Update decreased the distance required for charging to 3 tiles (from 3.5 tiles).",13
18,Wizard,4 January 2016,04/01/2016,"02/02/2016|On 2/2/2016, the February 2016 Update, decreased the Wizard's damage by 7%.
29/02/2016|On 29/2/2016, the March 2016 Update, changed the Wizard so that he would no longer stop its attack if his target dies during the attack animation. It also decreased the sight range of the Wizard.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Rare card level cap to 11 (from 10). The update also fixed the ""range bug"", which decreased the Wizard's range to 5 tiles (from 5.5 tiles) but his effective range is unchanged.
04/07/2016|On 4/7/2016, the Tournaments Update, increased the Wizard's attack speed to 1.6 seconds (from 1.7 seconds). This update also revealed that the Ice Wizard is his cousin.
15/12/2016|On 15/12/2016, the December 2016 Update, increased the Wizard's hit speed to 1.4 seconds (from 1.6 seconds) but delayed his initial attack by 0.2 seconds.
23/01/2017|On 23/1/2017, a Balance Update, increased the Wizard's range to 5.5 tiles (from 5 tiles).
04/06/2018|On 4/6/2018, a Balance Update, increased the Wizard’s damage by 2% and his area damage radius by 25%.",7
19,Mini P.E.K.K.A,4 January 2016,04/01/2016,"09/02/2016|On 9/2/2016, the Chest Rewards & Card Balance Update, increased the Mini P.E.K.K.A's hitpoints by 3%.
29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Mini P.E.K.K.A.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Rare card level cap to 11 (from 10). The Mini P.E.K.K.A. was changed to be affected by pushback. Additionally, the Mini P.E.K.K.A's sound effect when deployed was updated. The sound effect now sounds like “Pancakes”, and a tweet by the Clash Royale official Twitter account implied that that was the correct interpretation. It had a real life Mini P.E.K.K.A standing next to a Giant Skeleton, with the caption “Who wants pancakes?”.
11/08/2017|On 11/8/2017, a Balance Update, increased the Mini P.E.K.K.A's damage by 4.6%.
24/01/2018|On 24/1/2018, a Balance Update, increased the Mini P.E.K.K.A's hitpoints by 7%.
01/07/2019|On 1/7/2019, the July 2019 Update, increased the Mini P.E.K.K.A's range to 1.2 tiles (from 1.05 tiles), now classified as Melee: Medium.
05/05/2020|On 5/5/2020, a Balance Update, decreased the Mini P.E.K.K.A's range from Melee: Medium to Melee: Short (1.2 tiles -> 0.8 tiles).
03/11/2020|On 3/11/2020, a Balance Update, increased the Mini P.E.K.K.A's attack speed to 1.7 seconds (from 1.8 seconds) and its first attack speed to 0.4 seconds (from 0.5 seconds).
03/02/2022|On 3/2/22, a Balance Update increased the Mini P.E.K.K.A's attack speed to 1.6 seconds (from 1.7 seconds)",9
20,Spear Goblins,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Spear Goblins.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Common card level cap to 13 (from 12). The update also fixed the ""range bug"", which decreased the Spear Goblins' range to 5 tiles (from 5.5 tiles) but their effective range is unchanged.
09/10/2017|On 9/10/2017, the Epic Quests Update, increased the Spear Goblins' hit speed to 1.1 seconds (from 1.3 seconds).
25/04/2018|On 25/4/2018, the Clan Wars Update, decreased the Spear Goblins‘ hit speed to 1.2 seconds (from 1.1 seconds).
04/06/2018|On 4/6/2018, a Balance Update, increased the Spear Goblins’ damage by 34%, but also increased their hit speed to 1.7 seconds (from 1.2 seconds) and made their first attack slower.
02/06/2020|On 2/6/2020, a Balance Update, gave the Spear Goblins a new 0.1 second deploy stagger from each other.",6
21,Giant Skeleton,4 January 2016,04/01/2016,"02/02/2016|On 2/2/2016, the February 2016 Update, added the death damage on the Giant Skeleton's card info screen.
29/02/2016|On 29/2/2016, the March 2016 Update, increased the Giant Skeleton's hitpoints by 11% and bomb timer to 3 seconds (from 1 second). It also decreased the sight range of the Giant Skeleton.
04/07/2016|On 4/7/2016, the Tournaments Update, increased the Giant Skeleton's damage by 20%.
15/12/2016|On 15/12/2016, the December 2016 Update, increased the Giant Skeleton's damage by 8%.
12/12/2017|On 12/12/2017, the Electrifying Update, increased the Giant Skeleton‘s hitpoints by 5%.
01/04/2019|On 1/4/2019, a Balance Update, made the Giant Skeleton’s first attack delay shorter (from 0.5 seconds to 0.3 seconds) and increased his mass from 15 to 18.
30/03/2021|On 30/3/21, a Balance Update decreased the Giant Skeleton's death damage by 54% and increased his attack damage by 29%.
07/06/2021|On 7/6/21, the 2021 Quarter 2 Update gave Giant Skeleton's bomb the ability to inflict double damage on Crown Towers. It also moved the Arena to unlock the Giant Skeleton from Bone Pit (Arena 2) to P.E.K.K.A's Playhouse (Arena 4).
04/04/2022|On 4/4/22, the Giant Skeleton’s hitpoints and attack speed were increased by 7%.
12/09/2022|On 12/9/22, a maintenance break decreased the Giant Skeleton's HP by 5%.",10
22,Hog Rider,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Hog Rider.
21/06/2016|On 21/6/2016, a Balance Update, decreased the Hog Rider's damage by 6%.
12/12/2017|On 12/12/2017, the Electrifying Update, decreased the Hog Rider’s hit speed to 1.6 seconds (from 1.5 seconds) and delayed his first attack by 0.1 seconds.
20/06/2018|On 20/6/2018, the Summer 2018 Update, moved the Arena to unlock the Hog Rider from P.E.K.K.A's Playhouse (Arena 4) to Goblin Stadium (Arena 1).",4
23,Minion Horde,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Minions.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Common card level cap to 13 (from 12), and fixed the “range bug” and decreased the Minions' range to 2 tiles (from 2.5 tiles) but their effective range is unchanged.
20/06/2018|On 20/6/2018, the Summer 2018 Update, gave the Minion Horde a new 0.15 seconds deploy stagger from each other.
01/07/2019|On 1/7/2019, the July 2019 Update, decreased the Minions' range to 1.6 tiles (from 2 tiles), now classified as Melee: Long.
02/06/2020|On 2/6/2020, a Balance Update, decreased the deploy stagger for each Minion to 0.1 seconds (from 0.15 seconds).",5
24,Ice Wizard,29 February 2016,29/02/2016,"23/03/2016|On 23/3/2016, a Balance Update, increased the Ice Wizard's damage by 5%.
03/05/2016|On 3/5/2016, the May 2016 Update, decreased the Legendary card level cap to 5 (from 6) and fixed the ""range bug"" and decreased the Ice Wizard's range to 5.5 (from 6) but his effective range is unchanged. Also, this update changed his description. It used to read, ""This chill caster hails from the far North. He shoots ice shards at enemies, slowing down their movement and attack speed.""
04/07/2016|On 4/7/2016, the Tournaments Update, allowed the Elixir Collector to be affected by the Ice Wizard's slowing.
24/08/2016|On 24/8/2016, a Balance Update, decreased the Ice Wizard's hitpoints by 5%.
11/08/2017|On 11/8/2017, a Balance Update, increased the Ice Wizard's damage by 10% and decreased his hit speed to 1.7 seconds (from 1.5 seconds).
01/10/2018|On 1/10/2018, a Balance Update, increased the Ice Wizard's slowdown duration to 2.5 seconds (from 2 seconds). This card won the vote for the 8th card of the balance update.
03/12/2018|On 3/12/2018, a Balance Update, decreased the Ice Wizard’s hitpoints by 11% but also increased his damage by 10%.
07/06/2021|On 7/6/21, a Balance Update decreased the Ice Wizard's hitpoints by 3%.
10/06/2021|On 10/6/21, a maintenance break decreased the Ice Wizard's hitpoints by 0.1%. An equal level Ice Wizard will now be one-shot by an equal level Fireball.
07/12/2021|On 7/12/21, the 2021 Quarter 4 Update granted the Ice Wizard Spawn Damage with a slow effect.",10
25,Royal Giant,29 February 2016,29/02/2016,"23/03/2016|On 23/3/2016, a Balance Update, increased the Royal Giant's damage by 20%.
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Common card level cap to 13 (from 12), increased the Royal Giant's range by 1 tile and also changed his description. It used to say, “Sighting his massive cannon at enemy buildings, the Royal Giant comes in like a wrecking ball.” The same update also fixed the “range bug” and decreased the range by 0.5 tiles with no change to effective range, thereby providing a 0.5 tile increase (effectively a 1 tile increase in range).
18/05/2016|On 18/5/2016, a Balance Update, decreased the Royal Giant's damage by 4%.
24/08/2016|On 24/8/2016, a Balance Update, decreased the Royal Giant's hit speed to 1.7 seconds (from 1.5 seconds).
19/04/2017|On 19/4/2017, a Balance Update, increased the Royal Giant's deployment time to 2 seconds (from 1 second).
01/10/2018|On 1/10/2018, a Balance Update, decreased the Royal Giant's range to 5 tiles (from 6.5 tiles), but increased his damage by 60% and decreased the deployment time to 1 second (from 2 seconds).
06/09/2021|On 6/9/21, a Balance Update decreased the Royal Giant's first attack speed to 0.9 seconds (from 0.7 seconds).",7
26,Guards,3 May 2016,03/05/2016,"18/05/2016|On 18/5/2016, a Balance Update, increased the Guards' hitpoints and damage by 8%.
21/06/2016|On 21/6/2016, a Balance Update, removed the pushback when their shields break.
